Player Name,Position,Type,Wins,Losses,Overtime Losses,Points,Goals,Assists,+/-,Shots,Hits,Penalty Minutes,Faceoff %,Shot %,Takeaways,Giveaways,Blocks,Shots Against,Save %,Goals Against,Saves,GAA,Games Played,Points Per Game,Win %
xBiGGiE8-_-,Left Wing,Official,1,2,0,6,3,3,0,14,0,4:00,0,21.4,5,40,1,0,0,0,0,0,3,2,0.3333333333333333
RzR_CHAMP,Goalie,Official,6,22,4,50,23,27,-51,156,36,33:00,23.8,14.7,65,318,14,0,0,0,0,0,32,1.5625,0.1875
Diggi8469,Right Wing,Official,127,136,19,817,478,339,-52,1490,242,223:00,24.5,32.1,599,3632,27,0,0,0,0,0,282,2.897163120567376,0.450354609929078
megaduke6665,Goalie,Official,67,64,12,8,4,4,-18,17,42,11:00,25,23.5,17,72,0,2144,0.766,501,1643,3.44,143,0.055944055944055944,0.46853146853146854
Cummins_4YOU,Center,Official,34,55,5,176,82,94,-116,310,344,126:00,52,26.5,239,848,88,0,0,0,0,0,94,1.872340425531915,0.3617021276595745
Leger_17,Goalie,Official,43,36,12,150,62,88,36,206,300,115:00,47.4,30.1,210,704,35,0,0,0,0,0,91,1.6483516483516483,0.4725274725274725
l_-2-d-_l,Right Defense,Official,155,112,22,622,339,283,126,1029,507,244:00,43.7,32.9,507,2932,64,662,0.779,146,516,0.5,289,2.152249134948097,0.5363321799307958
jambo313,Right Defense,Official,12,17,3,25,12,13,-35,95,84,24:00,54.2,12.6,87,260,6,0,0,0,0,0,32,0.78125,0.375
cujo4201985,Left Defense,Official,97,110,19,136,15,121,-81,245,683,199:00,100,6.1,579,1226,124,0,0,0,0,0,226,0.6017699115044248,0.42920353982300885
xxHazzy-Eyesxx,Left Defense,Official,64,80,18,344,163,181,-102,568,301,115:00,42.4,28.7,291,1694,16,0,0,0,0,0,162,2.123456790123457,0.3950617283950617
DesireSolaR,Right Wing,Official,19,25,9,140,75,65,-40,285,80,28:00,42.9,26.3,116,552,26,0,0,0,0,0,53,2.641509433962264,0.3584905660377358
Axful-_-,Left Defense,Official,13,2,2,17,1,16,20,19,2,6:00,0,5.3,48,77,19,0,0,0,0,0,17,1,0.7647058823529411
BigDik-Fingers,Right Wing,Official,92,71,16,395,199,196,7,668,437,177:00,43.7,29.8,363,1413,30,0,0,0,0,0,179,2.206703910614525,0.5139664804469274
JoGaG-83,Right Wing,Official,19,23,2,115,61,54,14,186,137,55:00,50.2,32.8,122,588,18,0,0,0,0,0,44,2.6136363636363638,0.4318181818181818
DatsyukQC13,Center,Official,65,96,15,388,210,178,-130,793,95,250:00,51.8,26.5,479,1249,56,43,0.814,8,35,0.05,176,2.2045454545454546,0.3693181818181818
nordiques26,Right Defense,Official,0,10,0,6,1,5,-48,14,66,20:00,36.3,7.1,31,66,8,0,0,0,0,0,10,0.6,0
Natale_59,Goalie,Official,46,35,4,2,0,2,9,6,1,2:00,0,0,6,19,9,1246,0.774,282,964,3.22,85,0.023529411764705882,0.5411764705882353
Ellustrious,Right Defense,Official,26,23,5,66,9,57,5,67,121,84:00,0,13.4,171,299,57,0,0,0,0,0,54,1.2222222222222223,0.48148148148148145
HellViaSin,Left Defense,Official,24,11,3,30,0,30,29,18,52,34:00,0,0,121,119,41,0,0,0,0,0,38,0.7894736842105263,0.631578947368421
MadLuigi_Qc,Goalie,Official,139,83,23,13,3,10,-24,32,57,23:00,0,9.4,55,166,11,3405,0.818,619,2786,2.45,245,0.053061224489795916,0.5673469387755102
MidnightNihilist,Left Defense,Official,17,25,3,31,5,26,-42,50,72,46:00,0,10,85,262,59,0,0,0,0,0,45,0.6888888888888889,0.37777777777777777
DbxSwanson,Center,Official,21,6,3,71,25,48,26,98,106,59:00,53.4,25.5,74,308,3,45,0.756,11,34,0.36,30,2.3666666666666667,0.7
jonnyrawton,Goalie,Official,1,7,1,0,0,0,0,0,0,0:00,0,0,0,0,0,137,0.606,54,83,5.99,9,0,0.1111111111111111
SiMpLiFiEDChAoS,Right Wing,Official,33,54,8,199,104,95,-56,389,250,69:00,34.1,26.7,173,936,18,0,0,0,0,0,95,2.094736842105263,0.3473684210526316
JuiceStainz53,Right Defense,Official,15,24,2,25,3,22,-13,33,42,6:00,0,9.1,53,58,18,466,0.738,122,344,2.91,41,0.6097560975609756,0.36585365853658536
laydown61,Center,Official,43,49,8,173,71,102,-40,316,416,67:00,52.7,22.5,251,439,75,0,0,0,0,0,100,1.73,0.43
LeafsNation22,Center,Official,15,22,4,57,22,35,-30,92,181,16:00,53.1,23.9,107,258,29,0,0,0,0,0,41,1.3902439024390243,0.36585365853658536
John22019,Left Defense,Official,56,50,7,88,12,76,-25,107,291,79:00,0,11.2,289,614,90,0,0,0,0,0,113,0.7787610619469026,0.49557522123893805
DaBirdMan27,Left Wing,Official,79,84,18,114,54,60,-82,165,73,57:00,33.3,32.7,82,672,1,2258,0.819,409,1849,2.19,181,0.6298342541436464,0.43646408839779005
ItzRoachyy,Right Wing,Official,34,27,7,170,90,80,1,383,129,44:00,36.2,23.5,172,732,8,0,0,0,0,0,68,2.5,0.5
Bsavage28,Center,Official,124,67,15,76,38,38,24,138,21,18:00,51.5,27.5,63,211,27,2852,0.802,564,2288,2.68,206,0.36893203883495146,0.6019417475728155
Tangelis,Right Defense,Official,235,156,37,54,6,48,30,113,180,86:00,100,5.3,206,501,6,5116,0.81,971,4145,2.23,428,0.1261682242990654,0.5490654205607477
LEGRINGO38,Left Defense,Official,4,2,0,9,6,3,-2,19,14,2:00,50,31.6,9,57,2,0,0,0,0,0,6,1.5,0.6666666666666666
iFillyzzz,Right Wing,Official,11,16,0,40,14,26,-29,72,83,43:00,45.9,19.4,79,253,20,0,0,0,0,0,27,1.4814814814814814,0.4074074074074074
Mr_Kassel,Goalie,Official,8,17,2,0,0,0,0,0,0,0:00,0,0,0,0,0,465,0.748,117,348,4.23,27,0,0.2962962962962963
Loimcloth,Right Wing,Official,55,45,15,188,77,113,-32,311,178,105:00,54,24.8,208,816,60,248,0.827,43,205,0.38,115,1.6347826086956523,0.4782608695652174
XxFatDiplomatxX,Left Defense,Official,14,27,1,32,3,29,-61,35,335,55:00,26.9,8.6,138,324,32,0,0,0,0,0,42,0.7619047619047619,0.3333333333333333
KryptoJayTTV,Left Defense,Official,41,33,8,75,15,60,-12,189,301,81:00,0,7.9,197,422,54,13,0.769,3,10,0.04,82,0.9146341463414634,0.5
J715849,Right Defense,Official,6,11,1,15,2,13,-13,41,26,6:00,60,4.9,54,163,19,0,0,0,0,0,18,0.8333333333333334,0.3333333333333333
BaRtMaN42008,Goalie,Official,107,90,22,128,35,93,-14,223,332,141:00,39.4,15.7,334,799,86,1373,0.78,302,1071,1.36,219,0.5844748858447488,0.4885844748858447
Jets76-bradyk14,Left Defense,Official,2,1,0,3,0,3,-3,1,2,2:00,0,0,6,11,1,0,0,0,0,0,3,1,0.6666666666666666
Swish054,Goalie,Official,60,38,14,0,0,0,0,0,0,0:00,0,0,0,0,0,1849,0.805,361,1488,3.05,112,0,0.5357142857142857
god_of_war_22,Left Wing,Official,83,57,14,332,157,175,33,591,455,60:00,51,26.6,357,1248,30,0,0,0,0,0,154,2.155844155844156,0.538961038961039
ShirtNoService,Goalie,Official,100,93,16,105,12,93,-16,132,300,201:00,0,9.1,549,996,59,0,0,0,0,0,209,0.5023923444976076,0.4784688995215311
l-Datsyuk_13-l,Goalie,Official,82,37,13,126,11,115,115,146,393,130:00,100,7.5,390,563,72,0,0,0,0,0,132,0.9545454545454546,0.6212121212121212
Zozpekt1,Right Wing,Official,16,24,1,64,26,38,-38,162,81,81:00,32.9,16,88,393,6,0,0,0,0,0,41,1.5609756097560976,0.3902439024390244
Dragonskull69,Goalie,Official,16,5,3,0,0,0,0,0,0,0:00,0,0,0,0,0,296,0.811,56,240,2.26,24,0,0.6666666666666666
JRush,Right Defense,Official,2,6,2,10,0,10,-28,8,9,18:00,44.4,0,18,86,18,0,0,0,0,0,10,1,0.2
